NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06714669,Comparison of General Anesthesia Hemodynamics Between R and P in Patients Undergoing Laparoscopic Hepatectomy,https://clinicaltrials.gov/study/NCT06714669,COMPLETED,Hypotension During Surgery,DRUG: propofol|DRUG: Remimazolam,Sun Yat-sen University,,INTERVENTIONAL
NCT06714656,Drivers and Barriers for Adopting Healthy and Sustainable Food Swaps in Young,https://clinicaltrials.gov/study/NCT06714656,NOT_YET_RECRUITING,Diet Modification|Sustainable Food Consumption,OTHER: Food Swap,University of Aberdeen,,INTERVENTIONAL
NCT06714643,Non-invasive Brain Stimulation in Subjects with Major Depressive Disorder,https://clinicaltrials.gov/study/NCT06714643,NOT_YET_RECRUITING,Major Depressive Disorder (MDD),DEVICE: Active tDCS|DEVICE: Sham treatment,Carmen Concerto,,INTERVENTIONAL
NCT06714630,"The PROSECCA Study, Answering New Questions in Prostate Cancer",https://clinicaltrials.gov/study/NCT06714630,ACTIVE_NOT_RECRUITING,Prostate Cancer,,University of Edinburgh,NHS Greater Glasgow and Clyde|NHS Grampian|NHS Highland|NHS Tayside|University of Glasgow|University of Lyon|NHS Lothian|NHS Research Scotland|Public Health Scotland|Prostate Cancer UK|Movember Foundation,OBSERVATIONAL
NCT06714617,"A Phase 1 Open-Label Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of BL-M17D1 in Subjects with HER2-Expressing or HER2-Mutant Advanced or Metastatic Solid Tumors",https://clinicaltrials.gov/study/NCT06714617,NOT_YET_RECRUITING,Unresectable Locally Advanced or Metastatic HER2-expressing or HER2-mutant Solid Tumors|Cohort 1: Subjects with HER2-positive Breast Cancer (BC)|Cohort 2: Subjects with HER2-positive Gastric/gastroesophageal Junction Cancer (GC/GEJ)|Cohort 3: Subjects with HER2-positive or HER2-mutant Non-small Cell Lung Cancer (NSCLC)|Cohort 4: Subjects with HER2-positive Endometrial Cancer (EC)|Cohort 5: Subjects with HER2-positive Ovarian Cancer (OC)|Cohort 6: Subjects with HER2-positive Urothelial Cancers (UC),DRUG: BL-M17D1,SystImmune Inc.,,INTERVENTIONAL
NCT06714604,Standard or Prolonged Neoadjuvant Chemotherapy Before Surgery for BR/LAPC,https://clinicaltrials.gov/study/NCT06714604,RECRUITING,Locally Advanced Pancreatic Adenocarcinoma|Borderline Resectable Pancreatic Carcinoma|Pancreas Cancer|Neoadjuvant Chemotherapy|Surgery|Pancreatectomy,DRUG: FOLFIRINOX or gemcitabine-nab-paclitaxel|DRUG: FOLFIRINOX or gemcitabine-nab-paclitaxel,"Sahlgrenska University Hospital, Sweden",Karolinska University Hospital,INTERVENTIONAL
NCT06714591,"A Multicenter, Open-Label Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetic Profile, and Preliminary Efficacy of BL-M11D1 in Patients with Relapsed/Refractory Acute Myeloid Leukemia",https://clinicaltrials.gov/study/NCT06714591,NOT_YET_RECRUITING,Relapsed/Refractory Acute Myeloid Leukemia,DRUG: BL-M11D1,SystImmune Inc.,,INTERVENTIONAL
NCT06714578,Construction of a Risk Screening Tool for New Psychoactive Substance Misuse Among Adolescents and Young Adults,https://clinicaltrials.gov/study/NCT06714578,NOT_YET_RECRUITING,Drug Misuse|Addiction,OTHER: Questionnaire and Physical Exam,"Wei XIA, PhD",,OBSERVATIONAL
NCT06714565,The Value of Near-infrared Spectroscopy and Blood Pressure Measurements in Estimating Future Fall Risk in Older Adults,https://clinicaltrials.gov/study/NCT06714565,RECRUITING,Falls|Orthostatic Hypotension|Older Adults (65 Years and Older),,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),,OBSERVATIONAL
NCT06714552,Effect of a Sugar Replacement on Blood Glucose Levels in Healthy Adults,https://clinicaltrials.gov/study/NCT06714552,NOT_YET_RECRUITING,Postprandial Hyperglycemia|Hyperinsulinemia,DIETARY_SUPPLEMENT: Galacto-Oligosaccharide|OTHER: Glucose,University of Aberdeen,"Yakult Honsha Co., LTD",INTERVENTIONAL
